Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
Bellagio 20 40,$ 1500.00,$ 2059.00,$ 559.00,Fri Jun 26 02:53:00 CDT 2015,Fri Jun 26 06:53:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,295,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 3202.00,$ 1702.00,Fri Jun 26 19:30:00 CDT 2015,Sat Jun 27 05:30:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,296,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 3926.00,$ 2926.00,Sat Jun 27 20:00:00 CDT 2015,Sun Jun 28 02:00:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,297,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 0.00,$ -3000.00,Mon Jun 29 00:03:00 CDT 2015,Mon Jun 29 07:03:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,298,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 1930.00,$ -1070.00,Tue Jun 30 23:59:00 CDT 2015,Wed Jul 01 13:59:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,299,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 1003.00,$ -497.00,Wed Jul 01 05:55:00 CDT 2015,Wed Jul 01 17:55:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,300,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2029.00,$ 1029.00,Mon Jul 06 01:30:00 CDT 2015,Mon Jul 06 03:00:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,301,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 3260.00,$ 260.00,Tue Jul 07 01:34:00 CDT 2015,Tue Jul 07 13:34:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,302,Limit Holdem,20/40,none
Bellagio 20 40,$ 3900.00,$ 500.00,$ -3400.00,Thu Jul 09 00:27:00 CDT 2015,Fri Jul 10 03:27:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,303,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 2537.00,$ 537.00,Sat Jul 11 23:09:00 CDT 2015,Sun Jul 12 08:09:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,304,Limit Holdem,20/40,none
